total_timesteps,n_updates,ep_len_mean,ep_reward_mean_agt1,ep_reward_mean_agt2,Environment Depth,ball_collision_agt1,ball_collision_agt2,no_side_agt1,no_side_agt2
299008.0,73.0,433.23,-3.41,-5.66,6.0,1.43,0.86,10.26,3.66
303104.0,74.0,429.17,-3.45,-5.71,6.0,1.42,0.77,9.89,3.27
307200.0,75.0,424.06,-3.53,-5.71,6.0,1.26,0.88,10.33,3.77
311296.0,76.0,427.51,-3.44,-5.74,6.0,1.28,0.85,10.3,4.24
315392.0,77.0,426.75,-3.43,-5.81,6.0,1.33,0.84,10.98,4.73
319488.0,78.0,429.22,-3.37,-5.87,6.0,1.39,0.87,11.32,5.68
323584.0,79.0,425.56,-3.33,-5.92,6.0,1.35,0.82,10.23,6.05
327680.0,80.0,423.56,-3.34,-5.93,6.0,1.25,0.84,11.02,5.9
331776.0,81.0,426.06,-3.3,-5.93,6.0,1.36,0.82,10.91,5.72
335872.0,82.0,426.1,-3.21,-6.0,6.0,1.4,0.79,10.54,5.71
339968.0,83.0,422.12,-3.24,-6.03,6.0,1.36,0.75,9.93,5.64
344064.0,84.0,423.57,-3.19,-6.05,6.0,1.44,0.75,9.91,6.14
348160.0,85.0,425.49,-3.13,-6.07,6.0,1.58,0.73,9.19,6.96
352256.0,86.0,421.89,-3.22,-6.04,6.0,1.62,0.69,8.53,6.96
356352.0,87.0,419.96,-3.19,-6.07,6.0,1.62,0.66,7.57,6.47
360448.0,88.0,417.1,-3.29,-5.97,6.0,1.5,0.56,7.14,5.33
364544.0,89.0,419.1,-3.41,-5.81,6.0,1.42,0.61,6.69,5.25
368640.0,90.0,422.57,-3.44,-5.69,6.0,1.44,0.63,6.12,5.28
372736.0,91.0,423.56,-3.5,-5.63,6.0,1.43,0.66,6.87,5.84
376832.0,92.0,424.21,-3.43,-5.69,6.0,1.49,0.64,6.48,5.76
380928.0,93.0,426.05,-3.49,-5.64,6.0,1.58,0.68,6.18,5.62
385024.0,94.0,426.59,-3.47,-5.65,6.0,1.57,0.71,6.37,5.17
389120.0,95.0,427.99,-3.45,-5.65,6.0,1.61,0.76,6.86,4.55
393216.0,96.0,427.56,-3.41,-5.7,6.0,1.52,0.63,6.88,4.09
397312.0,97.0,429.92,-3.39,-5.71,6.0,1.52,0.63,7.05,4.24
401408.0,98.0,435.45,-3.43,-5.61,6.0,1.55,0.66,7.34,4.76
405504.0,99.0,434.09,-3.39,-5.69,6.0,1.64,0.69,7.64,4.76
409600.0,100.0,432.73,-3.36,-5.77,6.0,1.63,0.65,8.89,4.9
413696.0,101.0,431.41,-3.32,-5.82,6.0,1.65,0.68,8.58,5.06
417792.0,102.0,434.96,-3.28,-5.81,6.0,1.66,0.72,7.98,5.01
421888.0,103.0,434.62,-3.2,-5.89,6.0,1.64,0.66,7.97,5.16
425984.0,104.0,435.86,-3.19,-5.85,6.0,1.6,0.65,8.13,5.44
430080.0,105.0,432.55,-3.16,-5.91,6.0,1.58,0.61,7.3,5.49
434176.0,106.0,432.72,-3.17,-5.91,6.0,1.58,0.63,7.48,5.7
438272.0,107.0,432.04,-3.18,-5.88,6.0,1.57,0.66,6.93,5.54
442368.0,108.0,431.51,-3.17,-5.91,6.0,1.58,0.66,6.76,5.77
446464.0,109.0,430.56,-3.16,-5.92,6.0,1.62,0.77,6.52,5.63
450560.0,110.0,431.36,-3.13,-5.94,6.0,1.63,0.76,5.69,5.78
454656.0,111.0,430.45,-3.22,-5.87,6.0,1.57,0.74,5.01,5.58
458752.0,112.0,426.89,-3.22,-5.89,6.0,1.58,0.76,4.74,5.67
462848.0,113.0,426.1,-3.26,-5.85,6.0,1.51,0.74,4.63,6.04
466944.0,114.0,421.43,-3.23,-5.97,6.0,1.43,0.74,4.43,6.01
471040.0,115.0,422.59,-3.3,-5.87,6.0,1.38,0.77,4.57,5.43
475136.0,116.0,423.03,-3.33,-5.86,6.0,1.32,0.72,4.29,5.33
479232.0,117.0,424.34,-3.35,-5.8,6.0,1.29,0.7,3.93,5.04
483328.0,118.0,426.57,-3.37,-5.71,6.0,1.21,0.7,3.69,4.88
487424.0,119.0,425.01,-3.42,-5.71,6.0,1.11,0.61,3.85,4.9
491520.0,120.0,423.94,-3.4,-5.73,6.0,1.11,0.57,3.67,4.26
495616.0,121.0,425.31,-3.45,-5.67,6.0,1.13,0.58,3.79,4.67
